Jurisdiction,Sample ID,Collection Date,Stored at 4C? (Y/N),PCR Inhibited? (Y/N/Partial),Location (Indoor/Outdoor/Transit/Special Event)
DCA,12311,7/15/2024,Y,N,Transit
DCA,12311,4/23/2024,Y,N,Transit
DCA,12311,1/22/2024,Y,N,Transit
DCA,16527,7/15/2024,Y,N,Indoor
DCA,16527,4/23/2024,Y,N,Indoor
DCA,16527,1/22/2024,Y,N,Indoor
DCA,16531,7/15/2024,Y,N,Indoor
DCA,16531,4/23/2024,Y,N,Indoor
DCA,16531,1/22/2024,Y,N,Indoor
DCA,16565,7/15/2024,Y,N,Transit
DCA,16565,4/23/2024,Y,N,Transit
DCA,16565,1/22/2024,Y,N,Transit
DCA,20074,7/15/2024,Y,N,Outdoor
DCA,20074,4/23/2024,Y,N,Outdoor
DCA,20074,1/22/2024,Y,N,Outdoor
DCA,20078,7/15/2024,Y,N,Transit
DCA,20078,4/23/2024,Y,N,Transit
DCA,20078,1/22/2024,Y,N,Transit
DCA,20838,7/15/2024,Y,N,Outdoor
DCA,20838,4/23/2024,Y,N,Outdoor
DCA,20838,1/22/2024,Y,N,Outdoor
DCA,20842,7/15/2024,Y,N,Indoor
DCA,20842,4/23/2024,Y,N,Indoor
DCA,20842,1/22/2024,Y,N,Outdoor
Columbus,G0CM265H3,7/16/2024,Y,N,Outdoor
Columbus,G0CM265RM,7/16/2024,Y,N,Outdoor
Columbus,G0CM265Y7,7/16/2024,Y,N,Outdoor
Columbus,G0CM267PP,7/16/2024,Y,N,Outdoor
Columbus,G0CM267X7,7/16/2024,Y,N,Outdoor
Columbus,G0CM2687M,7/16/2024,Y,N,Outdoor
Columbus,G0CM2692X,7/16/2024,Y,N,Outdoor
Cleveland,G0CV2DRNC,7/16/2024,Y,N,Outdoor
Cleveland,G0CV2DTUO,7/16/2024,Y,N,Outdoor
Cleveland,G0CV2DTYQ,7/16/2024,Y,N,Outdoor
AUS,G0AN29T34,1/15/2024,Y,Y,Outdoor
AUS,G0AN29T50,1/15/2024,Y,Y,Outdoor
AUS,G0AN29T6X,1/15/2024,Y,Y,Outdoor
AUS,G0AN29T7V,1/15/2024,Y,Y,Outdoor
AUS,G0AN29T8T,1/15/2024,Y,Y,Outdoor
AUS,G0AN29T9Q,1/15/2024,Y,Y,Outdoor
AUS,G0AN29TAN,1/15/2024,Y,Y,Outdoor
AUS,G0AN29TCK,1/15/2024,Y,Y,Outdoor
AUS,G0AN2D25H,7/14/2024,Y,N,Outdoor
AUS,G0AN2D26F,7/14/2024,Y,N,Outdoor
AUS,G0AN2D27F,7/14/2024,Y,N,Outdoor
AUS,G0AN2D28A,7/14/2024,Y,N,Outdoor
AUS,G0AN2D298,7/14/2024,Y,N,Outdoor
AUS,G0AN2D2A6,7/14/2024,Y,N,Outdoor
AUS,G0AN2D2D2,7/14/2024,Y,N,Outdoor
AUS,G0AN2D2GU,7/14/2024,Y,N,Outdoor
ATL,G0AT28MDG,1/17/2024 6:32,Y,N,OUTDOOR
ATL,G0AT28MK2,1/17/2024 8:06,Y,N,OUTDOOR
ATL,G0AT28MPV,1/17/2024 6:07,Y,N,OUTDOOR
ATL,G0AT28MTN,1/17/2024 6:07,Y,N,OUTDOOR
ATL,G0AT28MVH,1/17/2024 7:39,Y,N,OUTDOOR
ATL,G0AT28MWF,1/17/2024 5:38,Y,N,OUTDOOR
ATL,G0AT28N32,1/17/2024 7:33,Y,N,OUTDOOR
ATL,G0AT28N6V,1/17/2024 7:15,Y,N,OUTDOOR
ATL,G0AT2A781,4/22/2024 5:01,Y,N,OUTDOOR
ATL,G0AT2A7EP,4/22/2024 7:02,Y,N,OUTDOOR
ATL,G0AT2A7HF,4/22/2024 6:36,Y,N,OUTDOOR
ATL,G0AT2A7JD,4/22/2024 5:18,Y,N,OUTDOOR
ATL,G0AT2A7M8,4/22/2024 6:14,Y,N,OUTDOOR
ATL,G0AT2A7TX,4/22/2024 5:31,Y,N,OUTDOOR
ATL,G0AT2A7WQ,4/22/2024 5:08,Y,N,OUTDOOR
ATL,G0AT2A80H,4/22/2024 6:57,Y,N,OUTDOOR
ATL,G0AT2ER7C,4/22/2024,Y,N,Outdoor
ATL,G0AT2ER89,4/22/2024,Y,N,Outdoor
ATL,G0AT2ERA5,4/22/2024,Y,N,Outdoor
ATL,G0AT2ERMH,4/22/2024,Y,N,Outdoor
ATL,G0AT2ERQA,4/22/2024,Y,N,Outdoor
ATL,G0AT2ERU4,4/22/2024,Y,N,Outdoor
ATL,G0AT2ET1Q,4/22/2024,Y,N,Outdoor
ATL,G0AT2ET4H,4/22/2024,Y,N,Outdoor
Bay Area SFO,G0AY 36853,1/15/2024,Y,N,Outdoor
Bay Area SFO,G0AY3543Q,1/15/2024,Y,N,Outdoor
Bay Area SFO,G0AY35WQC,1/15/2024,Y,N,Outdoor
Bay Area SFO,G0AY360TZ,1/15/2024,Y,N,Outdoor
Bay Area SFO,G0AY360VX,1/15/2024,Y,N,Outdoor
Bay Area SFO,G0AY3680E,1/15/2024,Y,N,Outdoor
Bay Area SFO,G0AY369PY,1/15/2024,Y,N,Outdoor
Bay Area SFO,G0AY369QW,1/15/2024,Y,N,Outdoor
BAY AREA SFO,G0AY394X,4/16/2024,Y,N,Outdoor
BAY AREA SFO,G0AY398TK,4/16/2024,Y,N,Outdoor
BAY AREA SFO,G0AY39FGM,4/16/2024,Y,N,Outdoor
BAY AREA SFO,G0AY39FY2,4/16/2024,Y,N,Outdoor
BAY AREA SFO,G0AY39GEN,4/16/2024,Y,N,Outdoor
BAY AREA SFO,G0AY39MAK,4/16/2024,Y,N,Outdoor
BAY AREA SFO,G0AY39MGV,4/16/2024,Y,N,Outdoor
SFO Bay Area,G0AY3D2G6,7/15/2024,Y,N,Indoor
SFO Bay Area,G0AY3D6W8,7/15/2024,Y,N,Indoor
SFO Bay Area,G0AY3D86M,7/15/2024,Y,N,Indoor
SFO Bay Area,G0AY3D87J,7/15/2024,Y,N,Indoor
SFO Bay Area,G0AY3D8AC,7/15/2024,Y,N,Indoor
SFO Bay Area,G0AY3DCNJ,7/15/2024,Y,N,Indoor
SFO Bay Area,G0AY3DDV4,7/15/2024,Y,N,Indoor
SFO Bay Area,G0AY3DEV3,7/15/2024,Y,N,Indoor
CHI,G0CH3J1R5,1/22/2024,Y,N,Outdoor
CHI,G0CH3J2HK,1/22/2024,Y,N,Outdoor
CHI,G0CH3J2JH,1/22/2024,Y,N,Outdoor
CHI,G0CH3J32H,1/22/2024,Y,N,Outdoor
CHI,G0CH3J3GM,1/22/2024,Y,N,Outdoor
CHI,G0CH3J3VW,1/22/2024,Y,N,Outdoor
CHI,G0CH3J7Q1,1/22/2024,Y,N,Outdoor
CHI,G0CH3J8HD,1/22/2024,Y,N,Indoor
CHI,G0CH3NRFV,4/16/2024,Y,N,Outdoor
CHI,G0CH3NTQ8,4/16/2024,Y,N,Outdoor
CHI,G0CH3NUEV,4/16/2024,Y,N,Indoor
CHI,G0CH3NWHJ,4/16/2024,Y,N,Outdoor
CHI,G0CH3NWJG,4/16/2024,Y,N,Outdoor
CHI,G0CH3NX3E,4/16/2024,Y,N,Outdoor
CHI,G0CH3NXQ4,4/16/2024,Y,N,Outdoor
CHI,G0CH3NXUX,4/16/2024,Y,N,Outdoor
CHI,G0CH3UF87,7/22/2024,Y,N,Outdoor
CHI,G0CH3UHCY,7/22/2024,Y,N,Outdoor
CHI,G0CH3UHFR,7/22/2024,Y,N,Outdoor
CHI,G0CH3UHXT,7/22/2024,Y,N,Outdoor
CHI,G0CH3UJJG,7/22/2024,Y,N,Outdoor
CHI,G0CH3UJN9,7/22/2024,Y,N,Outdoor
CHI,G0CH3UPJC,7/22/2024,Y,N,Outdoor
CHI,G0CH3UQ8Y,7/22/2024,Y,N,Outdoor
Columbus,G0CM250M4,1/15/2024,Y,N,Outdoor
Columbus,G0CM250N2,1/15/2024,Y,N,Outdoor
Columbus,G0CM250RV,1/15/2024,Y,N,Outdoor
Columbus,G0CM2517X,1/15/2024,Y,N,Outdoor
Columbus,G0CM251J7,1/15/2024,Y,N,Outdoor
Columbus,G0CM252AP,1/15/2024,Y,N,Outdoor
Columbus,G0CM252GA,1/15/2024,Y,N,Outdoor
Columbus,G0CM252H8,1/15/2024,Y,N,Outdoor
Columbus,G0CM262NX,4/15/2024,Y,N,Outdoor
Columbus,G0CM26324,4/15/2024,Y,N,Outdoor
Columbus,G0CM263RP,4/15/2024,Y,N,Outdoor
Columbus,G0CM263TM,4/15/2024,Y,N,Outdoor
Columbus,G0CM26431,4/15/2024,Y,N,Outdoor
Columbus,G0CM2646U,4/15/2024,Y,N,Outdoor
Columbus,G0CM2648P,4/15/2024,Y,N,Outdoor
Columbus,G0CM2649M,4/15/2024,Y,N,Outdoor
Columbus,G0CM267TG,7/16/2024,Y,N,Outdoor
Cincinnati,G0CN214UT,1/15/2024,Y,N,Outdoor
Cincinnati,G0CN2151D,1/15/2024,Y,N,Outdoor
Cincinnati,G0CN215M5,1/15/2024,Y,N,Outdoor
Cincinnati,G0CN215N3,1/15/2024,Y,N,Outdoor
Cincinnati,G0CN21AFC,1/15/2024,Y,N,Outdoor
Cincinnati,G0CN21ANX,1/15/2024,Y,N,Outdoor
Cincinnati,G0CN21AUK,1/15/2024,Y,N,Outdoor
Cincinnati,G0CN21CUJ,1/15/2024,Y,N,Outdoor
Cincinnati,G0CN22AAJ,4/15/2024,Y,N,Outdoor
Cincinnati,G0CN22ANV,4/15/2024,Y,N,Outdoor
Cincinnati,G0CN22C14,4/15/2024,Y,N,Outdoor
Cincinnati,G0CN22D8M,4/15/2024,Y,N,Outdoor
Cincinnati,G0CN22DH2,4/15/2024,Y,N,Outdoor
Cincinnati,G0CN22DMV,4/15/2024,Y,N,Outdoor
Cincinnati,G0CN22DNT,4/15/2024,Y,N,Outdoor
Cincinnati,G0CN22DQN,4/15/2024,Y,N,Outdoor
Cincinnati,G0CN23A13,7/16/2024,Y,N,Outdoor
Cincinnati,G0CN23AUF,7/16/2024,Y,N,Outdoor
Cincinnati,G0CN23CDA,7/16/2024,Y,N,Outdoor
Cincinnati,G0CN23CG3,7/16/2024,Y,N,Outdoor
Cincinnati,G0CN23CPP,7/16/2024,Y,N,Outdoor
Cincinnati,G0CN23CVC,7/16/2024,Y,N,Outdoor
Cincinnati,G0CN23DNQ,7/16/2024,Y,N,Outdoor
Cincinnati,G0CN23DRH,7/16/2024,Y,N,Outdoor
Cleveland,G0CV29358,1/15/2024,Y,N,Outdoor
Cleveland,G0CV29366,1/15/2024,Y,N,Outdoor
Cleveland,G0CV29374,1/15/2024,Y,N,Outdoor
Cleveland,G0CV293GJ,1/15/2024,Y,N,Outdoor
Cleveland,G0CV293HG,1/15/2024,Y,N,Outdoor
Cleveland,G0CV293JE,1/15/2024,Y,N,Outdoor
Cleveland,G0CV293P5,1/15/2024,Y,N,Outdoor
Cleveland,G0CV293R1,1/15/2024,Y,N,Outdoor
Cleveland,G0CV2AK6M,4/15/2024,Y,N,Outdoor
Cleveland,G0CV2AK9E,4/15/2024,Y,N,Outdoor
Cleveland,G0CV2AKAC,4/15/2024,Y,N,Outdoor
Cleveland,G0CV2AKC9,4/15/2024,Y,N,Outdoor
Cleveland,G0CV2AKE5,4/15/2024,Y,N,Outdoor
Cleveland,G0CV2AKGO,4/15/2024,Y,N,Outdoor
Cleveland,G0CV2AKV8,4/15/2024,Y,N,Outdoor
Cleveland,G0CV2AKY2,4/15/2024,Y,N,Outdoor
Cleveland,G0CV2DRKG,7/16/2024,Y,N,Outdoor
Cleveland,G0CV2DRME,7/16/2024,Y,N,Outdoor
Cleveland,G0CV2DTR4,7/16/2024,Y,N,Outdoor
Cleveland,G0CV2DTVX,7/16/2024,Y,N,Outdoor
Cleveland,G0CV2DU2H,7/16/2024,Y,N,Outdoor
DALLAS,G0DA2P6P9,1/21/2024,Y,N,OUTDOOR
DALLAS,G0DA2P6T3,1/21/2024,Y,N,OUTDOOR
DALLAS,G0DA2P6WW,1/21/2024,Y,N,OUTDOOR
DALLAS,G0DA2P7EU,1/21/2024,Y,N,OUTDOOR
DALLAS,G0DA2P7T2,1/21/2024,Y,N,OUTDOOR
DALLAS,G0DA2P7UO,1/21/2024,Y,N,OUTDOOR
DALLAS,G0DA2P7XT,1/21/2024,Y,N,OUTDOOR
DALLAS,G0DA2P81K,1/21/2024,Y,N,OUTDOOR
DALLAS,G0DA2R7JD,4/15/2024,Y,N,Outdoor
DALLAS,G0DA2R7M8,4/15/2024,Y,N,Outdoor
DALLAS,G0DA2R7Q2,4/15/2024,Y,N,Outdoor
DALLAS,G0DA2R7VT,4/15/2024,Y,N,Outdoor
DALLAS,G0DA2R82D,4/15/2024,Y,N,Outdoor
Dallas,G0DA2R90G,7/15/2024,Y,N,Outdoor
Dallas,G0DA2T9WK,7/15/2024,Y,N,Outdoor
Dallas,G0DA2TA36,7/15/2024,Y,N,Outdoor
Dallas,G0DA2TKH1,7/15/2024,Y,N,Outdoor
Dallas,G0DA2U71C,7/15/2024,Y,N,Outdoor
Dallas,G0DA2UDDF,7/15/2024,Y,N,Outdoor
Dallas,G0DA2UDTM,7/15/2024,Y,N,Outdoor
Dallas,G0DA2UE7R,7/15/2024,Y,N,Outdoor
DETROIT,G0DT3A770,1/23/2024,Y,N,Outdoor
DETROIT,G0DT3A7K7,1/23/2024,Y,N,Outdoor
DETROIT,G0DT3A8VN,1/23/2024,Y,N,Outdoor
DETROIT,G0DT3A952,1/23/2024,Y,N,Outdoor
DETROIT,G0DT3A960,1/23/2024,Y,N,Outdoor
DETROIT,G0DT3AC26,1/23/2024,Y,N,Outdoor
DETROIT,G0DT3AC9Q,1/23/2024,Y,N,Outdoor
DETROIT,G0DT3ACEF,1/23/2024,Y,N,Outdoor
DETROIT,G0DT3DX2G,4/16/2024,Y,N,Outdoor
DETROIT,G0DT3E253,4/16/2024,Y,N,Outdoor
DETROIT,G0DT3E3N1,4/16/2024,Y,N,Outdoor
DETROIT,G0DT3E3YE,4/16/2024,Y,N,Outdoor
DETROIT,G0DT3E451,4/16/2024,Y,N,Outdoor
DETROIT,G0DT3E46Y,4/16/2024,Y,N,Outdoor
DETROIT,G0DT3E518,4/16/2024,Y,N,Outdoor
DETROIT,G0DT3E5WG,4/16/2024,Y,N,Outdoor
LANSING (DETROIT),G0DT3HK1K,7/22/2024,Y,N,Outdoor
LANSING (DETROIT),G0DT3HKWU,7/22/2024,Y,Partial,Outdoor
LANSING (DETROIT),G0DT3HMER,7/22/2024,Y,N,Outdoor
LANSING (DETROIT),G0DT3HP73,7/22/2024,Y,N,Outdoor
LANSING (DETROIT),G0DT3HPGH,7/22/2024,Y,Partial,Outdoor
LANSING (DETROIT),G0DT3HQ2D,7/22/2024,Y,N,Outdoor
LANSING (DETROIT),G0DT3HQFK,7/22/2024,Y,Partial,Outdoor
LANSING (DETROIT),G0DT3HQJC,7/22/2024,Y,N,Outdoor
LANSING (DETROIT),G0DT3MGJD,10/14/2024,Y,N,Outdoor
LANSING (DETROIT),G0DT3MJYH,10/14/2024,Y,N,Outdoor
LANSING (DETROIT),G0DT3MM1C,10/14/2024,Y,N,Outdoor
LANSING (DETROIT),G0DT3MMXH,10/14/2024,Y,N,Outdoor
LANSING (DETROIT),G0DT3MN28,10/14/2024,Y,N,Outdoor
LANSING (DETROIT),G0DT3MN52,10/14/2024,Y,N,Outdoor
LANSING (DETROIT),G0DT3MNCN,10/14/2024,Y,N,Outdoor
LANSING (DETROIT),G0DT3MNH9,10/14/2024,Y,N,Outdoor
Denver,G0DV2FM69,19-Dec-23,N,Partial,Outdoor
Denver,G0DV2FM93,19-Dec-23,N,N,Outdoor
Denver,G0DV2FMDW,19-Dec-23,N,N,Outdoor
Denver,G0DV2FMFR,19-Dec-23,N,N,Outdoor
Denver,G0DV2FMKF,19-Dec-23,N,N,Outdoor
Denver,G0DV2FMP8,19-Dec-23,N,N,Outdoor
Denver,G0DV2FMR4,19-Dec-23,N,N,Outdoor
Denver,G0DV2FMT2,19-Dec-23,N,N,Outdoor
Denver,G0DV2FMVX,19-Dec-23,N,N,Outdoor
Denver,G0DV2FMWV,19-Dec-23,N,N,Outdoor
Denver,G0DV2FMYQ,19-Dec-23,N,N,Outdoor
Denver,G0DV2FNON,19-Dec-23,N,Partial,Outdoor
DEN,G0DV2KAMD,7/24/2024,N,N,Outdoor
DEN,G0DV2KGDQ,7/24/2024,N,N,Outdoor
DEN,G0DV2KGEN,7/24/2024,N,N,Outdoor
DEN,G0DV2KGGG,7/24/2024,N,N,Outdoor
DEN,G0DV2KGHE,7/24/2024,N,N,Outdoor
DEN,G0DV2KGK9,7/24/2024,N,N,Outdoor
DEN,G0DV2KH39,7/24/2024,N,N,Outdoor
DEN,G0DV2KH9W,7/24/2024,N,N,Outdoor
SEA,G0EA2FTP5,1/15/2024,Y,N,Outdoor
SEA,G0EA2FTQ3,1/15/2024,Y,N,Outdoor
SEA,G0EA2FTTY,1/15/2024,Y,N,Outdoor
SEA,G0EA2FTXP,1/15/2024,Y,N,Outdoor
SEA,G0EA2FU1G,1/15/2024,Y,N,Outdoor
SEA,G0EA2FU3C,1/15/2024,Y,N,Transit
SEA,G0EA2FU65,1/15/2024,Y,N,Transit
SEA,G0EA2FU81,1/15/2024,Y,N,Transit
SEA,G0EA2HR2A,4/16/2024,Y,N,Transit
SEA,G0EA2HR46,4/16/2024,Y,N,Transit
SEA,G0EA2HR70,4/16/2024,Y,N,Outdoor
SEA,G0EA2HR9V,4/16/2024,Y,N,Outdoor
SEA,G0EA2HRCQ,4/16/2024,Y,N,Outdoor
SEA,G0EA2HRFH,4/16/2024,Y,N,Outdoor
SEA,G0EA2HRGE,4/16/2024,Y,N,Outdoor
SEA,G0EA2HROF,4/16/2024,Y,N,Transit
SEA,G0EA2KUMY,7/24/2024,Y,N,Outdoor
SEA,G0EA2KUQR,7/24/2024,Y,N,Outdoor
SEA,G0EA2KW6T,7/24/2024,Y,N,Transit
SEA,G0EA2KW8N,7/24/2024,Y,N,Indoor
SEA,G0EA2KWAH,7/24/2024,Y,N,Transit
SEA,G0EA2KWCF,7/24/2024,Y,N,Outdoor
SEA,G0EA2KWF8,7/24/2024,Y,N,Outdoor
SEA,G0EA2KWG5,7/24/2024,Y,N,Outdoor
El Paso,G0EP2D2NA,4/15/2024,Y,N,Outdoor
El Paso,G0EP2D2Q6,4/15/2024,Y,N,Outdoor
El Paso,G0EP2D2R4,4/15/2024,Y,N,Outdoor
El Paso,G0EP2D2VX,4/15/2024,Y,N,Outdoor
El Paso,G0EP2D2WV,4/15/2024,Y,N,Outdoor
El Paso,G0EP2D4FP,4/15/2024,Y,N,Outdoor
El Paso,G0EP2D4HH,4/15/2024,Y,N,Outdoor
El Paso,G0EP2D4JF,4/15/2024,Y,N,Outdoor
FORT WORTH,G0FW2E3X8,1/21/2024,Y,N,OUTDOOR
FORT WORTH,G0FW2E43X,1/21/2024,Y,N,OUTDOOR
FORT WORTH,G0FW2E44V,1/21/2024,Y,N,OUTDOOR
FORT WORTH,G0FW2E46Q,1/21/2024,Y,N,OUTDOOR
FORT WORTH,G0FW2E47N,1/21/2024,Y,N,OUTDOOR
FORT WORTH,G0FW2E49H,1/21/2024,Y,N,OUTDOOR
FORT WORTH,G0FW2E4E8,1/21/2024,Y,N,OUTDOOR
FORT WORTH,G0FW2E4G3,1/21/2024,Y,N,OUTDOOR
FORT WORTH,G0FW2FEV0,4/14/2024,Y,N,Special Event
FORT WORTH,G0FW2FF1N,4/14/2024,Y,N,Special Event
FORT WORTH,G0FW2FF4F,4/14/2024,Y,N,Special Event
FORT WORTH,G0FW2FFEV,4/14/2024,Y,N,Special Event
FORT WORTH,G0FW2FNXM,4/12/2024,Y,N,Special Event
FORT WORTH,G0FW2FPM6,4/12/2024,Y,N,Special Event
FORT WORTH,G0FW2FPQ0,4/12/2024,Y,N,Special Event
FORT WORTH,G0FW2FQ1D,4/13/2024,Y,N,Special Event
FORT WORTH,G0FW2FQ2A,4/13/2024,Y,N,Special Event
FORT WORTH,G0FW2FQ46,4/12/2024,Y,N,Special Event
FORT WORTH,G0FW2FQEK,4/13/2024,Y,N,Special Event
FORT WORTH,G0FW2FQFH,4/13/2024,Y,N,Special Event
FORT WORTH,G0FW2FQVP,4/15/2024,Y,N,Outdoor
FORT WORTH,G0FW2FR29,4/15/2024,Y,N,Outdoor
FORT WORTH,G0FW2FR37,4/15/2024,Y,N,Outdoor
FORT WORTH,G0FW2FR45,4/15/2024,Y,N,Special Event
FORT WORTH,G0FW2FR9U,4/15/2024,Y,N,Special Event
FORT WORTH,G0FW2FRDM,4/15/2024,Y,N,Special Event
FORT WORTH,G0FW2FRGD,4/15/2024,Y,N,Special Event
Ft. Worth,G0FW2HFCU,7/15/2024,Y,N,Outdoor
Ft. Worth,G0FW2HFFM,7/15/2024,Y,N,Outdoor
Ft. Worth,G0FW2HGHE,7/15/2024,Y,N,Outdoor
Ft. Worth,G0FW2HGRY,7/15/2024,Y,N,Outdoor
Ft. Worth,G0FW2HGXM,7/15/2024,Y,N,Outdoor
Ft. Worth,G0FW2HH39,7/15/2024,Y,N,Outdoor
Ft. Worth,G0FW2HH63,7/15/2024,Y,N,Outdoor
