Jurisdiction,Sample ID,Collection Date,Stored at 4C? (Y/N),PCR Inhibited? (Y/N/Partial),Location (Indoor/Outdoor/Transit/Special Event)
Philadelphia,G0PH23AUD,4/15/2024,Y,N,Outdoor
Philadelphia,G0PH23T2G,7/15/2024,Y,Y,Outdoor
Philadelphia,G0PH24NYQ,7/15/2024,Y,Y,Outdoor
Philadelphia,G0PH24UCT,7/15/2024,Y,Y,Outdoor
Philadelphia,G0PH24UFK,7/15/2024,Y,Y,Outdoor
Philadelphia,G0PH28EQ5,4/15/2024,Y,N,Outdoor
Philadelphia,G0PH28ER3,4/15/2024,Y,N,Outdoor
PHX,G0PX2PWAU,1/22/2024,Y,N,Outdoor
PHX,G0PX2PWM6,1/22/2024,Y,N,Outdoor
PHX,G0PX2PWQ0,1/22/2024,Y,N,Outdoor
PHX,G0PX2PX62,1/22/2024,Y,N,Outdoor
PHX,G0PX2PXAT,1/22/2024,Y,N,Outdoor
PHX,G0PX2PXEK,1/22/2024,Y,N,Outdoor
PHX,G0PX2PXGE,1/22/2024,Y,N,Outdoor
PHX,G0PX2PXHC,1/22/2024,Y,N,Outdoor
PHX,G0PX2RVQW,4/16/2024,Y,Partial,Outdoor
PHX,G0PX2RVRU,4/16/2024,Y,N,Outdoor
PHX,G0PX2RVTR,4/16/2024,Y,Partial,Outdoor
PHX,G0PX2RVWJ,4/16/2024,Y,N,Outdoor
PHX,G0PX2RW19,4/16/2024,Y,Partial,Outdoor
PHX,G0PX2RWEG,4/16/2024,Y,Partial,Outdoor
PHX,G0PX2RWH8,4/16/2024,Y,N,Outdoor
PHX,G0PX2RWM2,4/16/2024,Y,N,Outdoor
PHX,G0PX2UY13,7/15/2024,Y,N,Outdoor
PHX,G0PX2UYQN,7/15/2024,Y,N,Outdoor
PHX,G0PX2UYRK,7/15/2024,Y,N,Outdoor
PHX,G0PX2UYVD,7/15/2024,Y,N,Outdoor
PHX,G0PX2UYX8,7/15/2024,Y,N,Outdoor
PHX,G0PX2V04T,7/15/2024,Y,N,Outdoor
PHX,G0PX2VOHY,7/15/2024,Y,N,Outdoor
PHX,G0PX2VOMR,7/15/2024,Y,N,Outdoor
South Coast,G0TC3DXKW,7/16/2024,Y,N,Outdoor
South Coast,G0TC3E000,7/16/2024,Y,N,Outdoor
South Coast,G0TC3E1TA,7/16/2024,Y,N,Outdoor
South Coast,G0TC3E1U8,7/16/2024,Y,N,Outdoor
South Coast,G0TC3E23Q,7/16/2024,Y,N,Outdoor
South Coast,G0TC3E2V5,7/16/2024,Y,N,Indoor
South Coast,G0TC3E35J,7/16/2024,Y,N,Outdoor
South Coast,G0TC3E38C,7/16/2024,Y,N,Outdoor
South Coast,G0TC3GTE5,10/14/2024,Y,N,Outdoor
South Coast,G0TC3GVE3,10/14/2024,Y,N,Outdoor
South Coast,G0TC3HR8F,10/14/2024,Y,N,Outdoor
South Coast,G0TC3HRHW,10/14/2024,Y,N,Outdoor
South Coast,G0TC3HRMP,10/14/2024,Y,N,Indoor
South Coast,G0TC3HT1W,10/14/2024,Y,N,Outdoor
South Coast,G0TC3J5N5,10/14/2024,Y,N,Outdoor
South Coast,G0TC3J639,10/14/2024,Y,N,Outdoor
Hillsborough,G0TH23FGU,1/15/2024,Y,N,Outdoor
Hillsborough,G0TH23G5G,1/15/2024,Y,N,Outdoor
Hillsborough,G0TH23GC3,1/15/2024,Y,N,Outdoor
Hillsborough,G0TH23GD1,1/15/2024,Y,N,Outdoor
Hillsborough,G0TH23GKK,1/15/2024,Y,N,Outdoor
Hillsborough,G0TH23GPD,1/15/2024,Y,N,Outdoor
Hillsborough,G0TH23GT6,1/15/2024,Y,N,Outdoor
Hillsborough,G0TH23H6D,1/15/2024,Y,N,Outdoor
Hillsborough,G0TH23H96,1/15/2024,Y,N,Outdoor
Hillsborough,G0TH25YVF,7/16/2024,Y,N,Outdoor
Hillsborough,G0TH25YXA,7/16/2024,Y,N,Outdoor
Hillsborough,G0TH260AF,7/16/2024,Y,N,Outdoor
Hillsborough,G0TH260DA,7/16/2024,Y,N,Outdoor
Boston,G0TN2Q6P4,1/23/2024,Y,N,Outdoor
Boston,G0TN2Q6TX,1/23/2024,Y,N,Outdoor
Boston,G0TN2Q6WQ,1/23/2024,Y,N,Outdoor
Boston,G0TN2Q6YK,1/23/2024,Y,N,Outdoor
Boston,G0TN2Q73A,1/23/2024,Y,N,Outdoor
Boston,G0TN2Q764,1/23/2024,Y,N,Outdoor
Boston,G0TN2Q780,1/23/2024,Y,N,Outdoor
Boston,G0TN2Q7CT,1/23/2024,Y,N,Outdoor
Boston,G0TN2QEJ5,1/23/2024 9:47,Y,N,Outdoor
Boston,G0TN2QEK3,1/23/2024 8:30,Y,N,Outdoor
Boston,G0TN2QEM1,1/23/2024 8:30,Y,N,Outdoor
Boston,G0TN2QENY,1/23/2024 8:18,Y,N,Outdoor
Boston,G0TN2QEPW,1/23/2024 8:18,Y,N,Outdoor
Boston,G0TN2QEQU,1/23/2024 8:18,Y,N,Outdoor
Boston,G0TN2QERR,1/23/2024 8:30,Y,N,Outdoor
Boston,G0TN2QETP,1/23/2024 9:47,Y,N,Outdoor
Boston,G0TN2QEUM,1/23/2024 8:07,Y,N,Outdoor
Boston,G0TN2QEVJ,1/23/2024 8:30,Y,N,Outdoor
Boston,G0TN2QEWG,1/23/2024 9:47,Y,N,Outdoor
Boston,G0TN2QEXE,1/23/2024 8:07,Y,N,Outdoor
Boston,G0TN2QEYC,1/23/2024 8:18,Y,N,Outdoor
Boston,G0TN2QF09,1/23/2024 8:18,Y,N,Outdoor
Boston,G0TN2QF17,1/23/2024 9:47,Y,N,Outdoor
Boston,G0TN2QF25,1/23/2024 8:30,Y,N,Outdoor
Boston,G0TN2QF33,1/23/2024 8:07,Y,N,Outdoor
Boston,G0TN2QF41,1/23/2024 8:07,Y,N,Outdoor
Boston,G0TN2QF5Y,1/23/2024 9:47,Y,N,Outdoor
Boston,G0TN2QF6W,1/23/2024 8:07,Y,N,Outdoor
Boston,G0TN2QF7U,1/23/2024 9:47,Y,N,Outdoor
Boston,G0TN2QF8R,1/23/2024 8:30,Y,N,Outdoor
Boston,G0TN2QF9P,1/23/2024 8:07,Y,N,Outdoor
BOS,G0TN2TCUJ,4/14/2024,Y,N,Outdoor
BOS,G0TN2TCUJ,4/14/2024 8:01,Y,N,Outdoor
BOS,G0TN2TCVG,4/14/2024 7:54,Y,N,Outdoor
BOS,G0TN2TCWE,4/14/2024 7:47,Y,N,Outdoor
BOS,G0TN2TCXC,4/14/2024 8:01,Y,N,Outdoor
BOS,G0TN2TCY9,4/14/2024 7:47,Y,N,Outdoor
BOS,G0TN2TD07,4/14/2024 8:01,Y,N,Outdoor
BOS,G0TN2TD15,4/14/2024,Y,N,Outdoor
BOS,G0TN2TD15,4/14/2024 8:37,Y,N,Outdoor
BOS,G0TN2TD23,4/14/2024 7:47,Y,N,Outdoor
BOS,G0TN2TD31,4/14/2024 7:47,Y,N,Outdoor
BOS,G0TN2TD4Y,4/14/2024 7:54,Y,N,Outdoor
BOS,G0TN2TD5W,4/14/2024 8:01,Y,N,Outdoor
BOS,G0TN2TD6U,4/14/2024 8:37,Y,N,Outdoor
BOS,G0TN2TD7R,4/14/2024,Y,N,Outdoor
BOS,G0TN2TD7R,4/14/2024 8:37,Y,N,Outdoor
BOS,G0TN2TD8P,4/14/2024 7:54,Y,N,Outdoor
BOS,G0TN2TD9M,4/14/2024 7:54,Y,N,Outdoor
BOS,G0TN2TDAJ,4/14/2024 8:37,Y,N,Outdoor
BOS,G0TN2TDCG,4/14/2024 8:01,Y,N,Outdoor
BOS,G0TN2TDDE,4/14/2024 7:47,Y,N,Outdoor
BOS,G0TN2TDEC,4/14/2024 8:37,Y,N,Outdoor
BOS,G0TN2TDF9,4/14/2024 8:37,Y,N,Outdoor
BOS,G0TN2TDG6,4/14/2024 8:01,Y,N,Outdoor
BOS,G0TN2TDH4,4/14/2024,Y,N,Outdoor
BOS,G0TN2TDH4,4/14/2024 7:54,Y,N,Outdoor
BOS,G0TN2TDJ2,4/14/2024 7:54,Y,N,Outdoor
BOS,G0TN2TGNR,4/15/2024 15:03,Y,N,Outdoor
BOS,G0TN2TGPP,4/16/2024,Y,N,Outdoor
BOS,G0TN2TGPP,4/16/2024 8:22,Y,N,Outdoor
BOS,G0TN2TGQM,4/16/2024,Y,N,Outdoor
BOS,G0TN2TGQM,4/16/2024 8:55,Y,N,Outdoor
BOS,G0TN2TGRJ,4/15/2024 15:31,Y,N,Outdoor
BOS,G0TN2TGTG,4/15/2024 15:03,Y,N,Outdoor
BOS,G0TN2TGUE,4/15/2024 15:03,Y,N,Outdoor
BOS,G0TN2TGVC,4/15/2024 15:31,Y,N,Outdoor
BOS,G0TN2TGW9,4/15/2024 15:31,Y,N,Outdoor
BOS,G0TN2TGX7,4/15/2024 15:31,Y,N,Outdoor
BOS,G0TN2TGY5,4/16/2024 7:46,Y,N,Outdoor
BOS,G0TN2TH03,4/16/2024 7:46,Y,N,Outdoor
BOS,G0TN2TH11,4/16/2024,Y,N,Outdoor
BOS,G0TN2TH11,4/16/2024 8:58,Y,N,Outdoor
BOS,G0TN2TH2Y,4/16/2024 7:46,Y,N,Outdoor
BOS,G0TN2TH3W,4/16/2024 7:46,Y,N,Outdoor
BOS,G0TN2TH4U,4/15/2024 15:31,Y,N,Outdoor
BOS,G0TN2TH5R,4/16/2024 8:22,Y,N,Outdoor
BOS,G0TN2TH6P,4/15/2024 15:31,Y,N,Outdoor
BOS,G0TN2TH7M,4/15/2024 15:03,Y,N,Outdoor
BOS,G0TN2TH8J,4/16/2024 8:22,Y,N,Outdoor
BOS,G0TN2TH9G,4/16/2024,Y,N,Outdoor
BOS,G0TN2TH9G,4/16/2024 8:58,Y,N,Outdoor
BOS,G0TN2THAE,4/16/2024,Y,N,Outdoor
BOS,G0TN2THAE,4/16/2024 8:55,Y,N,Outdoor
BOS,G0TN2THCC,4/15/2024 15:03,Y,N,Outdoor
BOS,G0TN2THD9,4/15/2024 15:03,Y,N,Outdoor
BOS,G0TN2THG2,4/15/2024,Y,N,Special Event
BOS,G0TN2THG2,4/15/2024 15:50,Y,N,Outdoor
BOS,G0TN2THJX,4/16/2024,Y,N,Outdoor
BOS,G0TN2THJX,4/16/2024 8:55,Y,N,Outdoor
BOS,G0TN2THKV,4/16/2024,Y,N,Outdoor
BOS,G0TN2THKV,4/16/2024 8:58,Y,N,Outdoor
BOS,G0TN2THMT,4/16/2024 8:22,Y,N,Outdoor
BOS,G0TN2THNQ,4/16/2024 8:22,Y,N,Outdoor
BOS,G0TN2THPN,4/16/2024,Y,N,Outdoor
BOS,G0TN2THPN,4/16/2024 8:55,Y,N,Outdoor
BOS,G0TN2THQK,4/15/2024,Y,N,Special Event
BOS,G0TN2THQK,4/15/2024 15:50,Y,N,Outdoor
BOS,G0TN2THTF,4/16/2024,Y,N,Outdoor
BOS,G0TN2THTF,4/16/2024 8:58,Y,N,Outdoor
BOS,G0TN2THUD,4/16/2024 8:22,Y,N,Outdoor
BOS,G0TN2THVA,4/15/2024,Y,N,Special Event
BOS,G0TN2THVA,4/15/2024 15:50,Y,N,Outdoor
BOS,G0TN2THW8,4/16/2024,Y,N,Outdoor
BOS,G0TN2THW8,4/16/2024 7:46,Y,N,Outdoor
BOS,G0TN2THX6,4/15/2024,Y,N,Special Event
BOS,G0TN2THX6,4/15/2024 15:50,Y,N,Outdoor
BOS,G0TN2THY4,4/16/2024 8:55,Y,N,Outdoor
BOS,G0TN2TJ02,4/16/2024,Y,N,Outdoor
BOS,G0TN2TJ02,4/16/2024 8:55,Y,N,Outdoor
BOS,G0TN2TJ10,4/16/2024 8:58,Y,N,Outdoor
BOS,G0TN2TJ2X,4/16/2024,Y,N,Outdoor
BOS,G0TN2TJ2X,4/16/2024 8:58,Y,N,Outdoor
BOS,G0TN2VW66,7/22/2024,Y,N,Outdoor
BOS,G0TN2VW66,7/22/2024 8:37,Y,N,Outdoor
BOS,G0TN2VW74,7/22/2024 8:50,Y,N,Outdoor
BOS,G0TN2VW82,7/22/2024,Y,N,Outdoor
BOS,G0TN2VW82,7/22/2024 8:37,Y,N,Outdoor
BOS,G0TN2VW90,7/22/2024 8:37,Y,N,Outdoor
BOS,G0TN2VWAX,7/22/2024 8:29,Y,N,Outdoor
BOS,G0TN2VWCV,7/22/2024 8:37,Y,N,Outdoor
BOS,G0TN2VWDT,7/22/2024,Y,N,Outdoor
BOS,G0TN2VWDT,7/22/2024 8:37,Y,N,Outdoor
BOS,G0TN2VWEQ,7/22/2024,Y,N,Outdoor
BOS,G0TN2VWEQ,7/22/2024 8:21,Y,N,Outdoor
BOS,G0TN2VWFN,7/22/2024 8:50,Y,N,Outdoor
BOS,G0TN2VWGJ,7/22/2024 8:37,Y,N,Outdoor
BOS,G0TN2VWHG,7/22/2024 8:50,Y,N,Outdoor
BOS,G0TN2VWJE,7/22/2024 8:21,Y,N,Outdoor
BOS,G0TN2VWKC,7/22/2024,Y,N,Outdoor
BOS,G0TN2VWKC,7/22/2024 8:29,Y,N,Outdoor
BOS,G0TN2VWM9,7/22/2024 8:50,Y,N,Outdoor
BOS,G0TN2VWN7,7/22/2024 8:29,Y,N,Outdoor
BOS,G0TN2VWP5,7/22/2024 8:29,Y,N,Outdoor
BOS,G0TN2VWQ3,7/22/2024,Y,N,Outdoor
BOS,G0TN2VWQ3,7/22/2024 8:21,Y,N,Outdoor
BOS,G0TN2VWR1,7/22/2024,Y,N,Outdoor
BOS,G0TN2VWR1,7/22/2024 8:21,Y,N,Outdoor
BOS,G0TN2VWTY,7/22/2024 8:29,Y,N,Outdoor
BOS,G0TN2VWUW,7/22/2024 8:21,Y,N,Outdoor
BOS,G0TN2VWVU,7/22/2024,Y,N,Outdoor
BOS,G0TN2VWVU,7/22/2024 8:21,Y,N,Outdoor
BOS,G0TN2VWWR,7/22/2024 8:50,Y,N,Outdoor
BOS,G0TN2VWXP,7/22/2024 8:50,Y,N,Outdoor
Pinellas,G0TP1W19R,1/15/2024,Y,N,Outdoor
Pinellas,G0TP1W1RT,1/15/2024,Y,N,Outdoor
Pinellas,G0TP1W1XF,1/15/2024,Y,N,Outdoor
Pinellas,G0TP1W2H7,1/15/2024,Y,N,Outdoor
Pinellas,G0TP1W2M1,1/15/2024,Y,N,Outdoor
Pinellas,G0TP1W2UM,1/15/2024,Y,N,Outdoor
Pinellas,G0TP1W317,1/15/2024,Y,N,Outdoor
Pinellas,G0TP1X16W,7/16/2024,Y,N,Outdoor
Pinellas,G0TP1X19P,7/16/2024,Y,N,Outdoor
Pinellas,G0TP1X1DG,7/16/2024,Y,N,Outdoor
Pinellas,G0TP1X1K2,7/16/2024,Y,N,Outdoor
STL,G0TT2CHR5,1/23/2024,Y,N,Outdoor
STL,G0TT2CJ3G,1/23/2024,Y,N,Outdoor
STL,G0TT2CJ69,1/23/2024,Y,N,Outdoor
STL,G0TT2CMFP,1/23/2024,Y,N,Outdoor
STL,G0TT2CMWT,1/23/2024,Y,N,Outdoor
STL,G0TT2CN66,1/23/2024,Y,N,Outdoor
STL,G0TT2CN90,1/23/2024,Y,N,Outdoor
STL,G0TT2CNOK,1/23/2024,Y,N,Outdoor
STL,G0TT2EJ3C,4/24/2024,Y,N,Outdoor
STL,G0TT2EJ73,4/24/2024,Y,N,Outdoor
STL,G0TT2EJ9Y,4/24/2024,Y,N,Outdoor
STL,G0TT2EJAW,4/24/2024,Y,N,Outdoor
STL,G0TT2EJCU,4/24/2024,Y,N,Outdoor
STL,G0TT2EJGH,4/24/2024,Y,N,Outdoor
STL,G0TT2EJM8,4/24/2024,Y,N,Outdoor
STL,G0TT2EJQ2,4/24/2024,Y,N,Outdoor
STL,G0TT2GFTV,7/22/2024,Y,N,Outdoor
STL,G0TT2GFUT,7/22/2024,Y,N,Outdoor
STL,G0TT2GFWN,7/22/2024,Y,N,Outdoor
STL,G0TT2GG62,7/22/2024,Y,N,Outdoor
STL,G0TT2GGAT,7/22/2024,Y,N,Outdoor
STL,G0TT2GGGE,7/22/2024,Y,N,Outdoor
STL,G0TT2GGK7,7/22/2024,Y,N,Outdoor
STL,G0TT2GGP1,7/22/2024,Y,N,Outdoor
LAS,G0VE269Y1,2/10/2024,Y,N,Special Event
LAS,G0VE26CE2,2/11/2024,Y,N,Special Event
LAS,G0VE26CJR,2/10/2024,Y,N,Special Event
LAS,G0VE26CQE,2/10/2024,Y,N,Special Event
LAS,G0VE26CV5,2/10/2024,Y,N,Special Event
LAS,G0VE26DMK,2/11/2024,Y,N,Special Event
LAS,G0VE26FA5,2/10/2024,Y,N,Special Event
LAS,G0VE26KXT,2/11/2024,Y,N,Special Event
LAS,G0VE26M68,2/11/2024,Y,N,Special Event
LAS,G0VE26MCX,2/11/2024,Y,N,Special Event
LAS,G0VE26MDV,2/10/2024,Y,N,Special Event
LAS,G0VE26MET,2/10/2024,Y,N,Special Event
LAS,G0VE26MJG,2/11/2024,Y,N,Special Event
LAS,G0VE26MMC,2/10/2024,Y,N,Special Event
LAS,G0VE26MN9,2/10/2024,Y,N,Special Event
LAS,G0VE26MP7,2/11/2024,Y,N,Special Event
LAS,G0VE26NCW,2/10/2024,Y,N,Special Event
LAS,G0VE26NHH,2/11/2024,Y,N,Special Event
LAS,G0VE26P4A,2/10/2024,Y,N,Special Event
LAS,G0VE26P74,2/11/2024,Y,N,Special Event
LAS,G0VE26P82,2/11/2024,Y,N,Special Event
LAS,G0VE26PAX,2/10/2024,Y,N,Special Event
LAS,G0VE26PFN,2/11/2024,Y,N,Special Event
LAS,G0VE26PTY,2/11/2024,Y,N,Special Event
LAS,G0VE27F87,1/29/2024,Y,N,Outdoor
LAS,G0VE27FA3,1/29/2024,Y,Partial,Outdoor
LAS,G0VE27FC1,1/29/2024,Y,N,Outdoor
LAS,G0VE27FEW,1/29/2024,Y,N,Outdoor
LAS,G0VE27FGQ,1/29/2024,Y,N,Outdoor
LAS,G0VE27FKH,1/29/2024,Y,N,Outdoor
LAS,G0VE27FMF,1/29/2024,Y,N,Outdoor
LAS,G0VE27FND,1/29/2024,Y,N,Outdoor
LAS,G0VE28UDH,4/23/2024,Y,N,Outdoor
LAS,G0VE28UFD,4/23/2024,Y,N,Outdoor
LAS,G0VE28UG9,4/23/2024,Y,N,Outdoor
LAS,G0VE28UJ5,4/23/2024,Y,N,Outdoor
LAS,G0VE28UK3,4/23/2024,Y,N,Outdoor
LAS,G0VE28UNY,4/23/2024,Y,N,Outdoor
LAS,G0VE28UPW,4/23/2024,Y,N,Outdoor
LAS,G0VE28UTP,4/23/2024,Y,N,Outdoor
LAS,G0VE2A1HW,7/16/2024,Y,N,Outdoor
LAS,G0VE2A1KR,7/16/2024,Y,N,Outdoor
LAS,G0VE2A1MP,7/16/2024,Y,N,Outdoor
LAS,G0VE2A1NM,7/16/2024,Y,N,Outdoor
LAS,G0VE2A1PJ,7/16/2024,Y,N,Outdoor
LAS,G0VE2A1QG,7/16/2024,Y,N,Outdoor
LAS,G0VE2A1TC,7/16/2024,Y,N,Outdoor
LAS,G0VE2A1W5,7/16/2024,Y,N,Outdoor
BWRC,G0WR463FF,1/15/2024,Y,N,Outdoor
BWRC,G0WR463FF,1/16/2024 8:19,Y,N,Outdoor
BWRC,G0WR463GC,1/15/2024,Y,N,Outdoor
BWRC,G0WR463GC,1/16/2024 8:19,Y,N,Outdoor
BWRC,G0WR463H9,1/15/2024,Y,N,Outdoor
BWRC,G0WR463H9,1/16/2024 8:19,Y,N,Outdoor
BWRC,G0WR463PY,1/15/2024,Y,N,Outdoor
BWRC,G0WR463PY,1/16/2024 8:19,Y,N,Outdoor
BWRC,G0WR463XG,1/15/2024,Y,N,Outdoor
BWRC,G0WR463XG,1/16/2024 8:19,Y,N,Outdoor
BWI,G0WR46GHW,1/22/2024,Y,N,Outdoor
BWI,G0WR46GW5,1/22/2024,Y,N,Outdoor
BWI,G0WR46H1W,1/22/2024,Y,N,Outdoor
BWI,G0WR46H7G,1/22/2024,Y,N,Outdoor
BWI,G0WR46HOY,1/22/2024,Y,N,Outdoor
BWI,G0WR46KD3,1/22/2024,Y,N,Outdoor
BWI,G0WR46MOV,1/22/2024,Y,N,Outdoor
BWI,G0WR4C120,4/15/2024,Y,N,Outdoor
BWI,G0WR4C14V,4/15/2024,Y,N,Outdoor
BWI,G0WR4C1AF,4/15/2024,Y,N,Outdoor
BWI,G0WR4C1CD,4/15/2024,Y,N,Outdoor
BWI,G0WR4C1JY,4/15/2024,Y,N,Outdoor
BWI,G0WR4C1NR,4/15/2024,Y,N,Outdoor
BWI,G0WR4C1RJ,4/15/2024,Y,N,Outdoor
BWRC,G0WR4CCHP,4/22/2024,Y,N,Outdoor
BWRC,G0WR4CCJM,4/22/2024,Y,N,Outdoor
BWRC,G0WR4CCKJ,4/22/2024,Y,N,Outdoor
BWRC,G0WR4CCMG,4/22/2024,Y,N,Outdoor
BWRC,G0WR4CCPC,4/22/2024,Y,N,Outdoor
BWRC,G0WR4GXC6,7/17/2024,Y,N,Outdoor
BWRC,G0WR4GXYY,7/17/2024,Y,N,Outdoor
BWRC,G0WR4GY2R,7/17/2024,Y,N,Outdoor
BWRC,G0WR4GY8C,7/17/2024,Y,N,Outdoor
BWRC,G0WR4H5MA,7/17/2024,Y,N,Outdoor
BWI,G0WR4H8EN,7/22/2024,Y,N,Outdoor
BWI,G0WR4H8FK,7/22/2024,Y,N,Outdoor
BWI,G0WR4H8HE,7/22/2024,Y,N,Outdoor
BWI,G0WR4H8JC,7/22/2024,Y,N,Outdoor
BWI,G0WR4H8M7,7/22/2024,Y,N,Outdoor
BWI,G0WR4H8P3,7/22/2024,Y,N,Outdoor
BWI,G0WR4HG33,7/22/2024,Y,N,Outdoor
"Miami, 71",GQHD2VD4J,1/15/2024,N,N,outdoor
"Miami, Fl",GQMD2VOU4,1/15/2024,N,N,outdoor
BAY AREA SFO,GRAY39KIU,4/16/2024,Y,N,Outdoor
